,State,Number_feature,Time_Step,number_layers,kernel_size,MAE,RMSE,R2_Score
24,Karnataka,2,5,2,1,0.16868527233600616,0.16959436687591362,-0.5356841853325334
25,Karnataka,2,5,2,2,0.0870526134967804,0.08920788171814378,0.5751011054168872
26,Karnataka,2,5,2,3,0.06909589469432831,0.07088269395186615,0.7317377984196329
27,Karnataka,2,5,2,4,0.0969073697924614,0.10259901746264083,0.43796220234112304
28,Karnataka,2,5,3,1,0.1906677782535553,0.19536610821303665,-1.0378750683271716
29,Karnataka,2,5,3,2,0.039051998406648636,0.04435132343670626,0.8949751117177175
30,Karnataka,2,5,3,3,0.32720059156417847,0.33190972965443244,-4.881918844335923
31,Karnataka,2,5,3,4,0.03010341338813305,0.03449335415715056,0.9364742224312269
32,Karnataka,2,5,4,1,0.27566322684288025,0.2774477615890705,-3.1099972670391267
33,Karnataka,2,5,4,2,0.04034443199634552,0.04316287459814528,0.9005282396502622
34,Karnataka,2,5,4,3,0.3074215352535248,0.3084070268513548,-4.078408721544452
35,Karnataka,2,5,4,4,0.12135381996631622,0.12290791203213816,0.19343613767056633
36,Karnataka,2,7,2,1,0.06788790225982666,0.07593978160699692,0.5154957544757046
37,Karnataka,2,7,2,2,0.09114550054073334,0.09216005939288893,0.2864170976681959
38,Karnataka,2,7,2,3,0.19689688086509705,0.19767154815335625,-2.282821096632919
39,Karnataka,2,7,2,4,0.1491459757089615,0.15038964655173923,-0.9001800340874437
40,Karnataka,2,7,3,1,0.055888477712869644,0.07529322331010706,0.5237108075500195
41,Karnataka,2,7,3,2,0.19759607315063477,0.2050525558517266,-2.5325576882432292
